"installid"	"sessionid"	"time"	"lat"	"lng"	"accuracy"
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:45:15"	40.7330632	-73.9907433	20
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:56:29"	40.7332831	-73.9911294	19.884
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:55:28"	40.7333265	-73.9908465	47.703
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:54:27"	40.7333237	-73.9911176	33.124
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:53:26"	40.7332841	-73.9910618	33.143
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:52:25"	40.7333039	-73.9910612	32.312
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:51:24"	40.7332917	-73.9910537	33.3
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:59:32"	40.7330766	-73.9907621	20.834
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:57:30"	40.7330766	-73.9907621	20.797
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:00:55"	40.7331477	-73.9909917	19.954
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:06:01"	40.735567	-73.9905571	96
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:05:00"	40.7351233	-73.9910376	21.818
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:03:58"	40.7345431	-73.9906883	93.811
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:02:57"	40.7333445	-73.9893848	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:11:06"	40.7381537	-73.9908998	20.387
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:10:05"	40.7377987	-73.990303	20.082
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:09:04"	40.7371941	-73.9903948	20.08
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:08:03"	40.7363196	-73.9907621	22.719
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:07:02"	40.736101	-73.9908539	19.878
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:19:43"	40.7388193	-73.9925985	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:18:43"	40.7388193	-73.9925985	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:17:25"	40.7388193	-73.9925985	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:15:43"	40.7388193	-73.9925985	19.878
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:14:42"	40.7388193	-73.9925985	19.878
